ticker,return_1y,return_6m,return_1m,volatility,momentum,ma_50,ma_200,sector,market_cap,price,dividend,avg_volume
360ONE.NS,0.10470469719389425,0.06247000742211626,-0.0271533522897626,0.022942440984671807,-94.199951171875,1146.1100048828125,1107.283537902832,Financial Services,447745916928,1103.5,1.06,949658
3MINDIA.NS,0.4039128955733496,0.19868744872846594,0.06222739168362896,0.018106146238770122,1280.0,35317.4,31941.498115234375,Industrials,411512995840,36530.0,0.44,4127
ABB.NS,0.18668077756375018,0.21154230846169234,0.0856861163395178,0.01661253726241311,1184.0,5383.87,5414.039150390625,Industrials,1284027318272,6059.0,0.64,312833
ACC.NS,-0.12236873505228252,-0.1144966384934337,-0.02529172447711452,0.011300190902092533,-160.0999755859375,1694.53599609375,1820.5955596923827,Basic Materials,299614568448,1595.5,0.46,172806
ACMESOLAR.NS,0.20905945560090816,-0.17471242471204906,0.04029076102598763,0.023978935391257592,18.310699462890625,226.3374188232422,256.1928115844727,Utilities,142003421184,234.34,0.09,827915
AIAENG.NS,0.21265642104573096,0.2878697203603946,-0.030884921326616948,0.01607922474282048,-82.199951171875,3932.337998046875,3483.517720947266,Industrials,360757886976,3865.8,0.41,59984
APLAPOLLO.NS,0.5548063279085349,0.3887331387855894,0.08935819191050397,0.015059078654434753,287.800048828125,2041.8279907226563,1803.6801458740235,Basic Materials,618996236288,2229.0,0.26,731498
AUBANK.NS,0.726034821199029,0.3365364926149627,-0.023056918554302745,0.01859377508400704,-65.70001220703125,991.7470007324218,845.2109793090821,Financial Services,717106708480,959.75,0.1,2428001
AWL.NS,-0.23251271369134666,-0.2500596397202721,-0.11852129020737605,0.01673602371573588,-23.819992065429688,216.52660034179686,251.20890007019042,Consumer Defensive,244483293184,188.59,,1421667
AADHARHFC.NS,0.2219757788473953,-0.06909235342795006,-0.04701806668000918,0.017371618351328437,-4.899993896484375,477.17599914550783,485.6837493896484,Financial Services,203038359552,468.05,,349207
AARTIIND.NS,0.14793025282673938,0.2049986834679685,0.21844333198939486,0.02188447093460436,98.60000610351562,398.7800024414062,407.53364181518555,Basic Materials,164576755712,453.2,0.22,1083861
AAVAS.NS,-0.24258285720723255,-0.15780812396344218,-0.12386231023885283,0.02025554903575687,-155.2999267578125,1402.59,1636.6724993896485,Financial Services,101484380160,1281.5,,254072
ABBOTINDIA.NS,-0.11140167550674766,-0.16581956797966962,-0.0473426446580809,0.013272206006025071,-1495.0,27532.2,30203.5188671875,Healthcare,558006665216,26260.0,1.8,7210
ACE.NS,-0.205499856446982,-0.16279069767441862,0.03825779870512066,0.021225137636193644,33.8499755859375,893.5910046386718,1052.0553021240235,Industrials,104978079744,882.0,0.22,214491
